Time,visa,mastercard,union,bnu,boc,hsbc2024-03-28 03:37:05.996954,111.71150536,111.66936999999999,111.644524,112.47,"(112.26, 112.31)",112.08279000000002
2024-03-28 07:36:53.611338,111.71150536,111.66936999999999,111.644524,112.47,"(112.12, 112.17)",112.00027000000001
2024-03-28 11:35:47.896360,111.71150536,111.66936999999999,111.63206100000001,112.23,"(112.0, 112.05)",111.88680500000001
2024-03-29 01:31:24.899116,111.68142085999999,111.74189999999999,111.63206100000001,112.23,"(112.11, 112.16)",112.00027000000001
2024-03-29 03:36:47.836043,111.68142085999999,111.74189999999999,111.63206100000001,112.23,"(112.08, 112.13)",111.95900999999999
2024-03-29 07:36:30.065359,111.68142085999999,111.74189999999999,111.63206100000001,112.23,"(112.14, 112.19)",112.03121500000002
2024-03-29 11:35:43.908057,111.68142085999999,111.74189999999999,111.644524,112.23,"(112.18, 112.23)",112.051845
2024-03-30 01:28:48.111744,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-30 03:37:38.616597,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-30 07:35:46.971136,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-30 11:36:41.267079,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-31 01:37:49.851440,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-31 03:36:44.302179,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-31 07:36:15.121903,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-03-31 11:35:41.175134,111.71852586,111.80528999999999,111.644524,112.23,"(112.22, 112.27)",112.02090000000003
2024-04-01 01:39:13.823747,111.71852586,111.80528999999999,111.644524,112.23,"(112.21, 112.25999999999999)",112.09310500000001
2024-04-01 03:37:12.157909,111.71852586,111.80528999999999,111.644524,112.23,"(112.26, 112.31)",112.10342
2024-04-01 07:37:02.098585,111.71852586,111.80528999999999,111.644524,112.23,"(112.24, 112.28999999999999)",112.11373500000002
2024-04-01 11:36:32.067156,111.71852586,111.80528999999999,111.69440399999999,112.23,"(112.19, 112.24)",112.07247500000001
2024-04-02 01:36:14.350762,111.66751284,111.62283,111.69440399999999,112.29,"(112.09, 112.14)",111.98995500000002
2024-04-02 03:36:52.404745,111.66751284,111.62283,111.69440399999999,112.29,"(112.04, 112.09)",111.928065
2024-04-02 07:36:43.723064,111.66751284,111.62283,111.69440399999999,112.29,"(112.06, 112.11)",111.948695
2024-04-02 11:35:52.039799,111.66751284,111.62283,111.532456,112.29,"(112.09, 112.14)",111.95900999999999
2024-04-03 01:32:43.698414,111.63083884,111.67513,111.532456,112.38999999999999,"(112.16, 112.21)",112.04153000000001
2024-04-03 03:36:01.639934,111.63083884,111.67513,111.532456,112.38999999999999,"(112.23, 112.28)",112.11373500000002
2024-04-03 07:37:03.942116,111.63083884,111.67513,111.532456,112.38999999999999,"(112.17, 112.22)",112.051845
2024-04-03 11:35:49.004363,111.63083884,111.67513,111.56978699999999,112.38999999999999,"(112.12, 112.17)",112.02090000000003
2024-04-04 01:33:33.755805,111.61730197,111.67035000000001,111.56978699999999,112.38999999999999,"(112.3, 112.35)",112.16531
2024-04-04 03:36:25.802971,111.61730197,111.67035000000001,111.56978699999999,112.38999999999999,"(112.27, 112.32)",112.175625
2024-04-04 07:36:10.647378,111.61730197,111.67035000000001,111.56978699999999,112.38999999999999,"(112.34, 112.39)",112.20657000000003
2024-04-04 11:35:36.714792,111.61730197,111.67035000000001,111.60714300000001,112.38999999999999,"(112.32, 112.36999999999999)",112.20657000000003
2024-04-05 01:32:32.755950,111.61730197,111.62726,111.60714300000001,112.57,"(112.31, 112.36)",112.21688500000002
